,Instrument,Price Close
2005-01-27,.SPXTR,1745.5833
2005-01-28,.SPXTR,1740.9629
2005-01-31,.SPXTR,1755.6842
2005-02-01,.SPXTR,1767.7869
2005-02-02,.SPXTR,1773.6267
2005-02-03,.SPXTR,1769.2609
2005-02-04,.SPXTR,1788.8153
2005-02-07,.SPXTR,1786.9212
2005-02-08,.SPXTR,1788.1582
2005-02-09,.SPXTR,1773.2757
2005-02-10,.SPXTR,1780.8043
2005-02-11,.SPXTR,1793.5398
2005-02-14,.SPXTR,1794.9807
2005-02-15,.SPXTR,1801.0625
2005-02-16,.SPXTR,1801.5856
2005-02-17,.SPXTR,1787.4118
2005-02-18,.SPXTR,1788.6544
2005-02-18,.SPXTR,1788.6544
2005-02-22,.SPXTR,1762.7568
2005-02-23,.SPXTR,1772.7628
2005-02-24,.SPXTR,1787.3362
2005-02-25,.SPXTR,1804.1676
2005-02-28,.SPXTR,1792.6307
2005-03-01,.SPXTR,1802.7935
2005-03-02,.SPXTR,1802.9187
2005-03-03,.SPXTR,1803.5097
2005-03-04,.SPXTR,1820.8804
2005-03-07,.SPXTR,1825.7035
2005-03-08,.SPXTR,1817.1213
2005-03-09,.SPXTR,1798.7908
2005-03-10,.SPXTR,1802.1972
2005-03-11,.SPXTR,1789.0061
2005-03-14,.SPXTR,1799.1362
2005-03-15,.SPXTR,1785.6138
2005-03-16,.SPXTR,1771.3489
2005-03-17,.SPXTR,1774.5487
2005-03-18,.SPXTR,1773.7189
2005-03-21,.SPXTR,1764.9806
2005-03-22,.SPXTR,1747.0306
2005-03-23,.SPXTR,1748.2772
2005-03-24,.SPXTR,1746.6205
2005-03-28,.SPXTR,1750.8845
2005-03-29,.SPXTR,1737.9353
2005-03-30,.SPXTR,1762.087
2005-03-31,.SPXTR,1760.8868
2005-04-01,.SPXTR,1749.4521
2005-04-04,.SPXTR,1754.4275
2005-04-05,.SPXTR,1762.317
2005-04-06,.SPXTR,1766.693
2005-04-07,.SPXTR,1777.3517
2005-04-08,.SPXTR,1762.517
2005-04-11,.SPXTR,1762.5591
2005-04-12,.SPXTR,1772.4345
2005-04-13,.SPXTR,1751.7713
2005-04-14,.SPXTR,1734.2454
2005-04-15,.SPXTR,1705.2602
2005-04-18,.SPXTR,1710.2682
2005-04-19,.SPXTR,1720.4281
2005-04-20,.SPXTR,1697.7435
2005-04-21,.SPXTR,1731.2715
2005-04-22,.SPXTR,1719.6619
2005-04-25,.SPXTR,1734.5574
2005-04-26,.SPXTR,1719.0923
2005-04-27,.SPXTR,1726.2063
2005-04-28,.SPXTR,1707.1268
2005-04-29,.SPXTR,1727.4905
2005-05-02,.SPXTR,1735.428
2005-05-03,.SPXTR,1733.949
2005-05-04,.SPXTR,1755.9196
2005-05-05,.SPXTR,1751.4653
2005-05-06,.SPXTR,1749.6535
2005-05-09,.SPXTR,1760.8684
2005-05-10,.SPXTR,1742.0556
2005-05-11,.SPXTR,1750.2601
2005-05-12,.SPXTR,1732.8929
2005-05-13,.SPXTR,1725.154
2005-05-16,.SPXTR,1742.7404
2005-05-17,.SPXTR,1755.0988
2005-05-18,.SPXTR,1773.0122
2005-05-19,.SPXTR,1781.2823
2005-05-20,.SPXTR,1778.5907
2005-05-23,.SPXTR,1785.4583
2005-05-24,.SPXTR,1785.795
2005-05-25,.SPXTR,1779.8068
2005-05-26,.SPXTR,1791.4084
2005-05-27,.SPXTR,1793.3427
2005-05-27,.SPXTR,1793.3427
2005-05-31,.SPXTR,1782.4568
2005-06-01,.SPXTR,1799.1469
2005-06-02,.SPXTR,1802.1867
2005-06-03,.SPXTR,1789.827
2005-06-06,.SPXTR,1792.1443
2005-06-07,.SPXTR,1791.8939
2005-06-08,.SPXTR,1788.3019
2005-06-09,.SPXTR,1797.724
2005-06-10,.SPXTR,1793.5068
2005-06-13,.SPXTR,1798.0674
2005-06-14,.SPXTR,1802.7331
2005-06-15,.SPXTR,1806.784
2005-06-16,.SPXTR,1813.3512
2005-06-17,.SPXTR,1822.352
2005-06-20,.SPXTR,1821.0616
2005-06-21,.SPXTR,1817.361
2005-06-22,.SPXTR,1817.7992
2005-06-23,.SPXTR,1798.4935
2005-06-24,.SPXTR,1784.7701
2005-06-27,.SPXTR,1783.4541
2005-06-28,.SPXTR,1800.0658
2005-06-29,.SPXTR,1797.7257
2005-06-30,.SPXTR,1784.9873
2005-07-01,.SPXTR,1789.8489
2005-07-01,.SPXTR,1789.8489
2005-07-05,.SPXTR,1805.6779
2005-07-06,.SPXTR,1791.0535
2005-07-07,.SPXTR,1795.5457
2005-07-08,.SPXTR,1816.5193
2005-07-11,.SPXTR,1827.9074
2005-07-12,.SPXTR,1832.1483
2005-07-13,.SPXTR,1833.9782
2005-07-14,.SPXTR,1838.7983
2005-07-15,.SPXTR,1840.9306
2005-07-18,.SPXTR,1830.7494
2005-07-19,.SPXTR,1843.0736
2005-07-20,.SPXTR,1852.023
2005-07-21,.SPXTR,1839.7959
2005-07-22,.SPXTR,1849.809
2005-07-25,.SPXTR,1842.8447
2005-07-26,.SPXTR,1846.037
2005-07-27,.SPXTR,1854.7177
2005-07-28,.SPXTR,1865.6369
2005-07-29,.SPXTR,1851.3678
2005-08-01,.SPXTR,1853.1276
2005-08-02,.SPXTR,1866.2834
